k,cluster_id,n_points,r2,d2,density_r,density_d
8,0,2195,553.1483992390403,1106.2967984780805,3.9681937126088327,1.9840968563044163
8,1,1424,420.9929961478201,841.9859922956401,3.382479074544987,1.6912395372724938
8,2,3079,365.52280023465784,731.0456004693159,8.423551138323923,4.2117755691619605
8,3,67,1636.1470876860571,3272.294175372114,0.04094986355704464,0.020474931778522325
8,4,1159,384.19496613683907,768.389932273678,3.0166975159877496,1.508348757993875
8,5,1,0.0,0.0,0.0,0.0
8,6,74,960.0107827672449,1920.02156553449,0.07708246753926444,0.03854123376963221
8,7,1,0.0,0.0,0.0,0.0
9,0,3079,365.52280023465784,731.0456004693159,8.423551138323923,4.2117755691619605
9,1,1424,420.9929961478201,841.9859922956401,3.382479074544987,1.6912395372724938
9,2,981,734.6749911017241,1469.3499822034478,1.3352843255612732,0.6676421627806367
9,3,67,1636.1470876860571,3272.294175372114,0.04094986355704464,0.020474931778522325
9,4,1159,384.19496613683907,768.389932273678,3.0166975159877496,1.508348757993875
9,5,1,0.0,0.0,0.0,0.0
9,6,74,960.0107827672449,1920.02156553449,0.07708246753926444,0.03854123376963221
9,7,1,0.0,0.0,0.0,0.0
9,8,1214,379.0758388426298,758.1516776852598,3.2025253936165052,1.6012626968082524
10,0,981,734.6749911017241,1469.3499822034478,1.3352843255612732,0.6676421627806367
10,1,1424,420.9929961478201,841.9859922956401,3.382479074544987,1.6912395372724938
10,2,2013,369.13403209766915,738.268064195338,5.453303745961252,2.726651872980627
10,3,67,1636.1470876860571,3272.294175372114,0.04094986355704464,0.020474931778522325
10,4,1159,384.19496613683907,768.389932273678,3.0166975159877496,1.508348757993875
10,5,1,0.0,0.0,0.0,0.0
10,6,74,960.0107827672449,1920.02156553449,0.07708246753926444,0.03854123376963221
10,7,1,0.0,0.0,0.0,0.0
10,8,1214,379.0758388426298,758.1516776852598,3.2025253936165052,1.6012626968082524
10,9,1066,329.1014240607802,658.20284812156,3.2391230242842264,1.619561512142114
11,0,1424,420.9929961478201,841.9859922956401,3.382479074544987,1.6912395372724938
11,1,954,530.9213467584804,1061.8426935169605,1.7968763279619664,0.8984381639809834
11,2,2013,369.13403209766915,738.268064195338,5.453303745961252,2.726651872980627
11,3,67,1636.1470876860571,3272.294175372114,0.04094986355704464,0.020474931778522325
11,4,1159,384.19496613683907,768.389932273678,3.0166975159877496,1.508348757993875
11,5,1,0.0,0.0,0.0,0.0
11,6,74,960.0107827672449,1920.02156553449,0.07708246753926444,0.03854123376963221
11,7,1,0.0,0.0,0.0,0.0
11,8,1214,379.0758388426298,758.1516776852598,3.2025253936165052,1.6012626968082524
11,9,1066,329.1014240607802,658.20284812156,3.2391230242842264,1.619561512142114
11,10,27,6838.127655888964,13676.255311777924,0.003948449247908925,0.001974224623954463
12,0,954,530.9213467584804,1061.8426935169605,1.7968763279619664,0.8984381639809834
12,1,67,1636.1470876860571,3272.294175372114,0.04094986355704464,0.020474931778522325
12,2,2013,369.13403209766915,738.268064195338,5.453303745961252,2.726651872980627
12,3,1214,379.0758388426298,758.1516776852598,3.2025253936165052,1.6012626968082524
12,4,1159,384.19496613683907,768.389932273678,3.0166975159877496,1.508348757993875
12,5,556,466.8611457336283,933.7222914672566,1.190932261296447,0.5954661306482235
12,6,74,960.0107827672449,1920.02156553449,0.07708246753926444,0.03854123376963221
12,7,1,0.0,0.0,0.0,0.0
12,8,868,360.5213960308104,721.042792061621,2.4076240954248944,1.203812047712447
12,9,1066,329.1014240607802,658.20284812156,3.2391230242842264,1.619561512142114
12,10,27,6838.127655888964,13676.255311777924,0.003948449247908925,0.001974224623954463
12,11,1,0.0,0.0,0.0,0.0
13,0,2013,369.13403209766915,738.268064195338,5.453303745961252,2.726651872980627
13,1,67,1636.1470876860571,3272.294175372114,0.04094986355704464,0.020474931778522325
13,2,718,506.5065837857982,1013.013167571596,1.4175531434032502,0.7087765717016254
13,3,1214,379.0758388426298,758.1516776852598,3.2025253936165052,1.6012626968082524
13,4,1159,384.19496613683907,768.389932273678,3.0166975159877496,1.508348757993875
13,5,556,466.8611457336283,933.7222914672566,1.190932261296447,0.5954661306482235
13,6,74,960.0107827672449,1920.02156553449,0.07708246753926444,0.03854123376963221
13,7,1,0.0,0.0,0.0,0.0
13,8,868,360.5213960308104,721.042792061621,2.4076240954248944,1.203812047712447
13,9,1066,329.1014240607802,658.20284812156,3.2391230242842264,1.619561512142114
13,10,27,6838.127655888964,13676.255311777924,0.003948449247908925,0.001974224623954463
13,11,1,0.0,0.0,0.0,0.0
13,12,236,492.3562100476128,984.7124200952256,0.4793277614538016,0.2396638807269008
14,0,67,1636.1470876860571,3272.294175372114,0.04094986355704464,0.020474931778522325
14,1,1159,384.19496613683907,768.389932273678,3.0166975159877496,1.508348757993875
14,2,718,506.5065837857982,1013.013167571596,1.4175531434032502,0.7087765717016254
14,3,1214,379.0758388426298,758.1516776852598,3.2025253936165052,1.6012626968082524
14,4,27,6838.127655888964,13676.255311777924,0.003948449247908925,0.001974224623954463
14,5,556,466.8611457336283,933.7222914672566,1.190932261296447,0.5954661306482235
14,6,74,960.0107827672449,1920.02156553449,0.07708246753926444,0.03854123376963221
14,7,1,0.0,0.0,0.0,0.0
14,8,868,360.5213960308104,721.042792061621,2.4076240954248944,1.203812047712447
14,9,1066,329.1014240607802,658.20284812156,3.2391230242842264,1.619561512142114
14,10,890,409.91853361860313,819.8370672372058,2.17116311415203,1.0855815570760157
14,11,1,0.0,0.0,0.0,0.0
14,12,236,492.3562100476128,984.7124200952256,0.4793277614538016,0.2396638807269008
14,13,1123,316.12244649546886,632.2448929909375,3.552420944635757,1.776210472317879
15,0,1159,384.19496613683907,768.389932273678,3.0166975159877496,1.508348757993875
15,1,27,6838.127655888964,13676.255311777924,0.003948449247908925,0.001974224623954463
15,2,718,506.5065837857982,1013.013167571596,1.4175531434032502,0.7087765717016254
15,3,1214,379.0758388426298,758.1516776852598,3.2025253936165052,1.6012626968082524
15,4,890,409.91853361860313,819.8370672372058,2.17116311415203,1.0855815570760157
15,5,556,466.8611457336283,933.7222914672566,1.190932261296447,0.5954661306482235
15,6,74,960.0107827672449,1920.02156553449,0.07708246753926444,0.03854123376963221
15,7,1,0.0,0.0,0.0,0.0
15,8,868,360.5213960308104,721.042792061621,2.4076240954248944,1.203812047712447
15,9,1066,329.1014240607802,658.20284812156,3.2391230242842264,1.619561512142114
15,10,23,1720.6647917598796,3441.3295835197587,0.013366926614727683,0.0066834633073638424
15,11,1,0.0,0.0,0.0,0.0
15,12,236,492.3562100476128,984.7124200952256,0.4793277614538016,0.2396638807269008
15,13,1123,316.12244649546886,632.2448929909375,3.552420944635757,1.776210472317879
15,14,44,1136.8635964416726,2273.7271928833457,0.03870297205198394,0.019351486025991963
16,0,27,6838.127655888964,13676.255311777924,0.003948449247908925,0.001974224623954463
16,1,890,409.91853361860313,819.8370672372058,2.17116311415203,1.0855815570760157
16,2,718,506.5065837857982,1013.013167571596,1.4175531434032502,0.7087765717016254
16,3,1214,379.0758388426298,758.1516776852598,3.2025253936165052,1.6012626968082524
16,4,1066,329.1014240607802,658.20284812156,3.2391230242842264,1.619561512142114
16,5,556,466.8611457336283,933.7222914672566,1.190932261296447,0.5954661306482235
16,6,74,960.0107827672449,1920.02156553449,0.07708246753926444,0.03854123376963221
16,7,470,324.5337123999061,649.0674247998122,1.4482316691365589,0.7241158345682794
16,8,868,360.5213960308104,721.042792061621,2.4076240954248944,1.203812047712447
16,9,689,399.11056462908147,798.2211292581628,1.7263386666808256,0.8631693333404129
16,10,23,1720.6647917598796,3441.3295835197587,0.013366926614727683,0.0066834633073638424
16,11,1,0.0,0.0,0.0,0.0
16,12,236,492.3562100476128,984.7124200952256,0.4793277614538016,0.2396638807269008
16,13,1123,316.12244649546886,632.2448929909375,3.552420944635757,1.776210472317879
16,14,44,1136.8635964416726,2273.7271928833457,0.03870297205198394,0.019351486025991963
16,15,1,0.0,0.0,0.0,0.0
